2018-05-11 08:02:16 startup archives unpack
2018-05-11 08:02:17 install libisc-export95:amd64 <none> 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:17 status half-installed libisc-export95:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:17 status unpacked libisc-export95:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:17 status unpacked libisc-export95:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:17 install libdns-export100:amd64 <none> 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:17 status half-installed libdns-export100:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:17 status unpacked libdns-export100:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:17 status unpacked libdns-export100:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:17 install libisccfg-export90:amd64 <none> 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:17 status half-installed libisccfg-export90:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:17 status unpacked libisccfg-export90:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:17 status unpacked libisccfg-export90:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:17 install libirs-export91:amd64 <none> 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:17 status half-installed libirs-export91:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:17 status unpacked libirs-export91:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:17 status unpacked libirs-export91:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:17 install ifupdown:amd64 <none> 0.7.53.1
2018-05-11 08:02:17 status half-installed ifupdown:amd64 0.7.53.1
2018-05-11 08:02:17 status triggers-pending systemd:amd64 215-17+deb8u7
2018-05-11 08:02:17 status unpacked ifupdown:amd64 0.7.53.1
2018-05-11 08:02:17 status unpacked ifupdown:amd64 0.7.53.1
2018-05-11 08:02:17 install isc-dhcp-common:amd64 <none> 4.3.1-6+deb8u3
2018-05-11 08:02:17 status half-installed isc-dhcp-common:amd64 4.3.1-6+deb8u3
2018-05-11 08:02:17 status unpacked isc-dhcp-common:amd64 4.3.1-6+deb8u3
2018-05-11 08:02:17 status unpacked isc-dhcp-common:amd64 4.3.1-6+deb8u3
2018-05-11 08:02:17 install isc-dhcp-client:amd64 <none> 4.3.1-6+deb8u3
2018-05-11 08:02:17 status half-installed isc-dhcp-client:amd64 4.3.1-6+deb8u3
2018-05-11 08:02:17 status unpacked isc-dhcp-client:amd64 4.3.1-6+deb8u3
2018-05-11 08:02:17 status unpacked isc-dhcp-client:amd64 4.3.1-6+deb8u3
2018-05-11 08:02:17 install netbase:all <none> 5.3
2018-05-11 08:02:17 status half-installed netbase:all 5.3
2018-05-11 08:02:17 status unpacked netbase:all 5.3
2018-05-11 08:02:17 status unpacked netbase:all 5.3
2018-05-11 08:02:17 install telnet:amd64 <none> 0.17-36
2018-05-11 08:02:17 status half-installed telnet:amd64 0.17-36
2018-05-11 08:02:17 status unpacked telnet:amd64 0.17-36
2018-05-11 08:02:17 status unpacked telnet:amd64 0.17-36
2018-05-11 08:02:17 trigproc systemd:amd64 215-17+deb8u7 <none>
2018-05-11 08:02:17 status half-configured systemd:amd64 215-17+deb8u7
2018-05-11 08:02:17 status installed systemd:amd64 215-17+deb8u7
2018-05-11 08:02:18 startup packages configure
2018-05-11 08:02:18 configure libisc-export95:amd64 1:9.9.5.dfsg-9+deb8u15 <none>
2018-05-11 08:02:18 status unpacked libisc-export95:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:18 status half-configured libisc-export95:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:18 status installed libisc-export95:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:18 status triggers-pending libc-bin:amd64 2.19-18+deb8u10
2018-05-11 08:02:18 configure libdns-export100:amd64 1:9.9.5.dfsg-9+deb8u15 <none>
2018-05-11 08:02:18 status unpacked libdns-export100:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:18 status half-configured libdns-export100:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:18 status installed libdns-export100:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:18 configure libisccfg-export90:amd64 1:9.9.5.dfsg-9+deb8u15 <none>
2018-05-11 08:02:18 status unpacked libisccfg-export90:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:18 status half-configured libisccfg-export90:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:18 status installed libisccfg-export90:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:18 configure libirs-export91:amd64 1:9.9.5.dfsg-9+deb8u15 <none>
2018-05-11 08:02:18 status unpacked libirs-export91:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:18 status half-configured libirs-export91:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:18 status installed libirs-export91:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:02:18 configure ifupdown:amd64 0.7.53.1 <none>
2018-05-11 08:02:18 status unpacked ifupdown:amd64 0.7.53.1
2018-05-11 08:02:18 status unpacked ifupdown:amd64 0.7.53.1
2018-05-11 08:02:18 status triggers-pending systemd:amd64 215-17+deb8u7
2018-05-11 08:02:18 status unpacked ifupdown:amd64 0.7.53.1
2018-05-11 08:02:18 status unpacked ifupdown:amd64 0.7.53.1
2018-05-11 08:02:18 status unpacked ifupdown:amd64 0.7.53.1
2018-05-11 08:02:18 status unpacked ifupdown:amd64 0.7.53.1
2018-05-11 08:02:18 status unpacked ifupdown:amd64 0.7.53.1
2018-05-11 08:02:18 status unpacked ifupdown:amd64 0.7.53.1
2018-05-11 08:02:18 status unpacked ifupdown:amd64 0.7.53.1
2018-05-11 08:02:18 status half-configured ifupdown:amd64 0.7.53.1
2018-05-11 08:02:18 status installed ifupdown:amd64 0.7.53.1
2018-05-11 08:02:18 configure isc-dhcp-common:amd64 4.3.1-6+deb8u3 <none>
2018-05-11 08:02:18 status unpacked isc-dhcp-common:amd64 4.3.1-6+deb8u3
2018-05-11 08:02:18 status half-configured isc-dhcp-common:amd64 4.3.1-6+deb8u3
2018-05-11 08:02:18 status installed isc-dhcp-common:amd64 4.3.1-6+deb8u3
2018-05-11 08:02:18 configure isc-dhcp-client:amd64 4.3.1-6+deb8u3 <none>
2018-05-11 08:02:18 status unpacked isc-dhcp-client:amd64 4.3.1-6+deb8u3
2018-05-11 08:02:18 status unpacked isc-dhcp-client:amd64 4.3.1-6+deb8u3
2018-05-11 08:02:18 status unpacked isc-dhcp-client:amd64 4.3.1-6+deb8u3
2018-05-11 08:02:18 status unpacked isc-dhcp-client:amd64 4.3.1-6+deb8u3
2018-05-11 08:02:18 status unpacked isc-dhcp-client:amd64 4.3.1-6+deb8u3
2018-05-11 08:02:18 status half-configured isc-dhcp-client:amd64 4.3.1-6+deb8u3
2018-05-11 08:02:18 status installed isc-dhcp-client:amd64 4.3.1-6+deb8u3
2018-05-11 08:02:18 configure netbase:all 5.3 <none>
2018-05-11 08:02:18 status unpacked netbase:all 5.3
2018-05-11 08:02:18 status unpacked netbase:all 5.3
2018-05-11 08:02:18 status unpacked netbase:all 5.3
2018-05-11 08:02:18 status unpacked netbase:all 5.3
2018-05-11 08:02:18 status half-configured netbase:all 5.3
2018-05-11 08:02:18 status installed netbase:all 5.3
2018-05-11 08:02:18 configure telnet:amd64 0.17-36 <none>
2018-05-11 08:02:18 status unpacked telnet:amd64 0.17-36
2018-05-11 08:02:18 status half-configured telnet:amd64 0.17-36
2018-05-11 08:02:19 status installed telnet:amd64 0.17-36
2018-05-11 08:02:19 trigproc libc-bin:amd64 2.19-18+deb8u10 <none>
2018-05-11 08:02:19 status half-configured libc-bin:amd64 2.19-18+deb8u10
2018-05-11 08:02:19 status installed libc-bin:amd64 2.19-18+deb8u10
2018-05-11 08:02:19 trigproc systemd:amd64 215-17+deb8u7 <none>
2018-05-11 08:02:19 status half-configured systemd:amd64 215-17+deb8u7
2018-05-11 08:02:19 status installed systemd:amd64 215-17+deb8u7
2018-05-11 08:02:20 startup packages configure
2018-05-11 08:20:12 startup archives unpack
2018-05-11 08:20:12 install libisc-export95:amd64 <none> 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:20:12 status half-installed libisc-export95:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:20:12 status unpacked libisc-export95:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:20:12 status unpacked libisc-export95:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:20:12 install libdns-export100:amd64 <none> 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:20:12 status half-installed libdns-export100:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:20:12 status unpacked libdns-export100:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:20:12 status unpacked libdns-export100:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:20:12 install libisccfg-export90:amd64 <none> 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:20:12 status half-installed libisccfg-export90:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:20:12 status unpacked libisccfg-export90:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:20:12 status unpacked libisccfg-export90:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:20:12 install libirs-export91:amd64 <none> 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:20:12 status half-installed libirs-export91:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:20:12 status unpacked libirs-export91:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:20:12 status unpacked libirs-export91:amd64 1:9.9.5.dfsg-9+deb8u15
2018-05-11 08:20:12 install ifupdown:amd64 <none> 0.7.53.1
2018-05-11 08:20:12 status half-installed ifupdown:amd64 0.7.53.1
2018-05-11 08:20:12 status triggers-pending systemd:amd64 215-17+deb8u7
2018-05-11 08:20:12 status unpacked ifupdown:amd64 0.7.53.1
2018-05-11 08:20:12 status unpacked ifupdown:amd64 0.7.53.1
2018-05-11 08:20:12 install isc-dhcp-common:amd64 <none> 4.3.1-6+deb8u3
2018-05-11 08:20:12 status half-installed isc-dhcp-common:amd64 4.3.1-6+deb8u3
2018-05-11 08:20:12 status unpacked isc-dhcp-common:amd64 4.3.1-6+deb8u3
2018-05-11 08:20:12 status unpacked isc-dhcp-common:amd64 4.3.1-6+deb8u3
2018-05-11 08:20:13 install isc-dhcp-client:amd64 <none> 4.3.1-6+deb8u3
